# Number of Epochs,Number of Nodes,Number of Aggregators,Number of Disseminators,Standard Deviation (SUM),Accuracy (SUM),Standard Deviation (AVG),Accuracy (AVG),Standard Deviation (MIN),Accuracy (MIN),Standard Deviation (MAX),Accuracy (MAX),Standard Deviation (COUNT),Accuracy (COUNT),Standard Deviation (SUMSQR),Accuracy (SUMSQR),Standard Deviation (STDDEV),Accuracy (STDDEV),Number of Updates,Number of Exploitations,Number of Duplicates,Number of Inconsistencies,Number of PUSH Messages,Num of PULL Messages,Number of Messages
261,400,20,400,0.039,0.7924,0.0019,0.9995,0,1,0.0517,0.9651,0,1,0.0851,0.8,0.0129,0.902,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,400,20,400,0.039,0.7924,0.0019,0.9995,0,1,0.0517,0.9651,0,1,0.0851,0.8,0.0129,0.902,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,400,20,400,0.039,0.7924,0.0019,0.9995,0,1,0.0517,0.9651,0,1,0.0851,0.8,0.0129,0.902,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,400,20,400,0.039,0.7924,0.0019,0.9995,0,1,0.0517,0.9651,0,1,0.0851,0.8,0.0129,0.902,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,400,20,400,0.0381,0.8202,0.0019,0.9996,0,1,0.0517,0.9651,0,1,0.0838,0.825,0.0127,0.9017,1.0,0.0,0.0,0.0,1.0,1.0,2.0
266,400,20,400,0.0381,0.8202,0.0019,0.9996,0,1,0.0517,0.9651,0,1,0.0838,0.825,0.0127,0.9017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,400,20,400,0.0381,0.8202,0.0019,0.9996,0,1,0.0517,0.9651,0,1,0.0838,0.825,0.0127,0.9017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,400,20,400,0.0298,0.8978,0.0015,0.9997,0,1,0.0517,0.9651,0,1,0.065,0.9022,0.0099,0.9009,2.0,0.0,0.0,0.0,2.0,2.0,4.0
269,400,20,400,0.0298,0.8978,0.0015,0.9997,0,1,0.0517,0.9651,0,1,0.065,0.9022,0.0099,0.9009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,400,20,400,0.0298,0.8978,0.0015,0.9997,0,1,0.0517,0.9651,0,1,0.065,0.9022,0.0099,0.9009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,400,20,400,0.0298,0.8978,0.0015,0.9997,0,1,0.0517,0.9651,0,1,0.065,0.9022,0.0099,0.9009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,400,20,400,0.0298,0.8978,0.0015,0.9997,0,1,0.0517,0.9651,0,1,0.065,0.9022,0.0099,0.9009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,400,20,400,0.023,0.937,0.0012,0.9998,0,1,0.0517,0.9651,0,1,0.0452,0.9446,0.0066,0.9004,1.0,0.0,0.0,0.0,1.0,1.0,2.0
274,400,20,400,0.023,0.937,0.0012,0.9998,0,1,0.0517,0.9651,0,1,0.0452,0.9446,0.0066,0.9004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,400,20,400,0.023,0.937,0.0012,0.9998,0,1,0.0517,0.9651,0,1,0.0452,0.9446,0.0066,0.9004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,400,20,400,0.023,0.937,0.0012,0.9998,0,1,0.0517,0.9651,0,1,0.0452,0.9446,0.0066,0.9004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,400,20,400,0.023,0.937,0.0012,0.9998,0,1,0.0517,0.9651,0,1,0.0452,0.9446,0.0066,0.9004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,400,20,400,0.023,0.937,0.0012,0.9998,0,1,0.0517,0.9651,0,1,0.0452,0.9446,0.0066,0.9004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,400,20,400,0.023,0.937,0.0012,0.9998,0,1,0.0517,0.9651,0,1,0.0452,0.9446,0.0066,0.9004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,400,20,400,0.023,0.937,0.0012,0.9998,0,1,0.0517,0.9651,0,1,0.0452,0.9446,0.0066,0.9004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,400,20,400,0.023,0.937,0.0012,0.9998,0,1,0.0517,0.9651,0,1,0.0452,0.9446,0.0066,0.9004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,400,20,400,0.023,0.937,0.0012,0.9998,0,1,0.0517,0.9651,0,1,0.0452,0.9446,0.0066,0.9004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,400,20,400,0.023,0.937,0.0012,0.9998,0,1,0.0517,0.9651,0,1,0.0452,0.9446,0.0066,0.9004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,400,20,400,0.023,0.937,0.0012,0.9998,0,1,0.0517,0.9651,0,1,0.0452,0.9446,0.0066,0.9004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,400,20,400,0.023,0.937,0.0012,0.9998,0,1,0.0517,0.9651,0,1,0.0452,0.9446,0.0066,0.9004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,400,20,400,0.023,0.937,0.0012,0.9998,0,1,0.0517,0.9651,0,1,0.0452,0.9446,0.0066,0.9004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,400,20,400,0.0177,0.9666,0.0009,0.9999,0,1,0.0517,0.9651,0,1,0.0334,0.9719,0.0047,0.9001,1.0,0.0,0.0,0.0,1.0,1.0,2.0
288,400,20,400,0.0177,0.9666,0.0009,0.9999,0,1,0.0517,0.9651,0,1,0.0334,0.9719,0.0047,0.9001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,400,20,400,0.0177,0.9666,0.0009,0.9999,0,1,0.0517,0.9651,0,1,0.0334,0.9719,0.0047,0.9001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,400,20,400,0.0177,0.9666,0.0009,0.9999,0,1,0.0517,0.9651,0,1,0.0334,0.9719,0.0047,0.9001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,400,20,400,0.0177,0.9666,0.0009,0.9999,0,1,0.0517,0.9651,0,1,0.0334,0.9719,0.0047,0.9001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,400,20,400,0.0177,0.9666,0.0009,0.9999,0,1,0.0517,0.9651,0,1,0.0334,0.9719,0.0047,0.9001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,400,20,400,0.0177,0.9666,0.0009,0.9999,0,1,0.0517,0.9651,0,1,0.0334,0.9719,0.0047,0.9001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,400,20,400,0.0177,0.9666,0.0009,0.9999,0,1,0.0517,0.9651,0,1,0.0334,0.9719,0.0047,0.9001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,400,20,400,0.0177,0.9666,0.0009,0.9999,0,1,0.0517,0.9651,0,1,0.0334,0.9719,0.0047,0.9001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,400,20,400,0.0177,0.9666,0.0009,0.9999,0,1,0.0517,0.9651,0,1,0.0334,0.9719,0.0047,0.9001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,400,20,400,0.0177,0.9666,0.0009,0.9999,0,1,0.0517,0.9651,0,1,0.0334,0.9719,0.0047,0.9001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,400,20,400,0.0177,0.9666,0.0009,0.9999,0,1,0.0517,0.9651,0,1,0.0334,0.9719,0.0047,0.9001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,400,20,400,0.0177,0.9666,0.0009,0.9999,0,1,0.0517,0.9651,0,1,0.0334,0.9719,0.0047,0.9001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,400,20,400,0.0177,0.9666,0.0009,0.9999,0,1,0.0517,0.9651,0,1,0.0334,0.9719,0.0047,0.9001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,400,20,400,0.0177,0.9666,0.0009,0.9999,0,1,0.0517,0.9651,0,1,0.0334,0.9719,0.0047,0.9001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,400,20,400,0.0177,0.9666,0.0009,0.9999,0,1,0.0517,0.9651,0,1,0.0334,0.9719,0.0047,0.9001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,1.0,0.0,0.0,0.0,1.0,1.0,2.0
304,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
309,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
319,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
321,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
324,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
327,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
328,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
329,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
332,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
333,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
334,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
335,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
336,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
337,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
342,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
344,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
348,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
351,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
354,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
355,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
356,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
357,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
358,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
359,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
363,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
364,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
365,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
366,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
367,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
369,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
371,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
372,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
373,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
374,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
376,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
377,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
378,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
379,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
380,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
381,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
382,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
383,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
384,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
385,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
386,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
387,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
388,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
389,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
391,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398,400,20,400,0,1,0,1,0,1,0.0517,0.9651,0,1,0,1,0,0.8998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
399,400,20,400,0.2805,-73.51,0.014,0.8137,0,1,0.0231,0.987,0,1,0.4312,-62.035,0.0238,0.7472,745.0,0.0,1.0,0.0,746.0,746.0,1492.0
400,400,20,400,0.4854,-106.3845,0.0243,0.7315,0.3507,0.9319,0.0035,0.9985,0,1,0.543,-90.6697,0.0053,0.8814,2876.0,0.0,3.0,0.0,2913.0,2879.0,5792.0
401,400,20,400,0.4721,-55.9551,0.0236,0.8576,0.2901,0.9766,0.0007,0.9997,0,1,0.5184,-47.7378,0.0148,0.8987,2075.0,0.0,16.0,0.0,2069.0,2091.0,4160.0
402,400,20,400,0.4162,-40.4426,0.0208,0.8964,0.274,0.9944,0.0007,0.9997,0,1,0.4541,-34.4762,0.0194,0.9174,620.0,0.0,7.0,0.0,616.0,627.0,1243.0
403,400,20,400,0.4047,-36.2087,0.0202,0.907,0.2582,0.9764,0.0007,0.9997,0,1,0.443,-30.8651,0.0203,0.924,173.0,0.0,1.0,0.0,175.0,174.0,349.0
404,400,20,400,0.3893,-32.7191,0.0195,0.9157,0.2384,0.991,0.0006,0.9997,0,1,0.4227,-27.8885,0.0217,0.93,139.0,0.0,0.0,0.0,137.0,139.0,276.0
405,400,20,400,0.3717,-29.4961,0.0186,0.9238,0.2384,0.991,0.0006,0.9997,0,1,0.4036,-25.1441,0.0227,0.936,131.0,0.0,1.0,0.0,133.0,132.0,265.0
406,400,20,400,0.3239,-26.4033,0.0162,0.9315,0.2363,0.9934,0.0006,0.9997,0,1,0.3526,-22.5653,0.0222,0.9424,129.0,0.0,0.0,0.0,128.0,129.0,257.0
407,400,20,400,0.337,-23.8527,0.0168,0.9379,0.2363,0.9934,0.0006,0.9997,0,1,0.3631,-20.3039,0.0249,0.9475,97.0,0.0,0.0,0.0,97.0,97.0,194.0
408,400,20,400,0.2973,-21.4828,0.0149,0.9438,0.2029,0.9599,0.0005,0.9998,0,1,0.3236,-18.2894,0.0231,0.9528,95.0,0.0,1.0,0.0,98.0,96.0,194.0
409,400,20,400,0.2621,-19.2471,0.0131,0.9494,0.1998,0.9625,0.0005,0.9998,0,1,0.2854,-16.3597,0.0215,0.958,88.0,0.0,1.0,0.0,87.0,89.0,176.0
410,400,20,400,0.2515,-17.5035,0.0126,0.9537,0.1998,0.9625,0.0005,0.9998,0,1,0.2695,-14.8915,0.0231,0.9626,70.0,0.0,1.0,0.0,72.0,71.0,143.0
411,400,20,400,0.2331,-15.7973,0.0117,0.958,0.184,0.9391,0.0005,0.9998,0,1,0.2484,-13.4093,0.0231,0.967,66.0,0.0,0.0,0.0,65.0,66.0,131.0
412,400,20,400,0.2175,-14.3178,0.0109,0.9617,0.166,0.9492,0.0005,0.9998,0,1,0.2282,-12.1463,0.0233,0.9711,59.0,0.0,2.0,0.0,63.0,61.0,124.0
413,400,20,400,0.2078,-12.8468,0.0104,0.9654,0.166,0.9492,0.0005,0.9998,0,1,0.2195,-10.8593,0.0235,0.9751,61.0,0.0,0.0,0.0,59.0,61.0,120.0
414,400,20,400,0.2065,-11.5634,0.0103,0.9686,0.166,0.9492,0.0005,0.9998,0,1,0.2163,-9.7533,0.0246,0.979,52.0,0.0,0.0,0.0,52.0,52.0,104.0
415,400,20,400,0.1885,-10.3291,0.0094,0.9717,0.1672,0.9542,0.0005,0.9998,0,1,0.1995,-8.7185,0.0235,0.9829,49.0,0.0,0.0,0.0,50.0,49.0,99.0
416,400,20,400,0.1765,-9.4726,0.0088,0.9738,0.1672,0.9542,0.0005,0.9998,0,1,0.1889,-8.0235,0.0226,0.986,35.0,0.0,0.0,0.0,34.0,35.0,69.0
417,400,20,400,0.1479,-8.2366,0.0074,0.9769,0.1646,0.9548,0.0005,0.9998,0,1,0.1564,-6.9756,0.0207,0.9901,46.0,0.0,1.0,0.0,47.0,47.0,94.0
418,400,20,400,0.1325,-7.4655,0.0066,0.9788,0.1646,0.9548,0.0005,0.9998,0,1,0.139,-6.3044,0.0199,0.9927,31.0,0.0,0.0,0.0,31.0,31.0,62.0
419,400,20,400,0.1198,-6.6542,0.006,0.9809,0.1449,0.9315,0.0004,0.9999,0,1,0.1231,-5.5915,0.0191,0.9954,33.0,0.0,1.0,0.0,34.0,34.0,68.0
420,400,20,400,0.1181,-5.8036,0.0059,0.983,0.1443,0.9316,0.0004,0.9999,0,1,0.1228,-4.8304,0.0191,0.9982,35.0,0.0,1.0,0.0,36.0,36.0,72.0
421,400,20,400,0.1221,-5.1093,0.0061,0.9847,0.1443,0.9316,0.0003,0.9999,0,1,0.1279,-4.2171,0.02,0.9993,28.0,0.0,0.0,0.0,28.0,28.0,56.0
422,400,20,400,0.1008,-4.5325,0.005,0.9862,0.1443,0.9316,0.0003,0.9999,0,1,0.1039,-3.7231,0.0179,0.9972,22.0,0.0,0.0,0.0,22.0,22.0,44.0
423,400,20,400,0.1,-3.8449,0.005,0.9879,0.1388,0.9332,0.0003,0.9999,0,1,0.1057,-3.1426,0.0177,0.9944,27.0,0.0,1.0,0.0,28.0,28.0,56.0
424,400,20,400,0.1005,-3.4364,0.005,0.9889,0.1388,0.9332,0.0003,0.9999,0,1,0.107,-2.8002,0.0177,0.9927,20.0,0.0,0.0,0.0,20.0,20.0,40.0
425,400,20,400,0.0911,-2.9912,0.0046,0.99,0.1388,0.9332,0,1,0,1,0.0944,-2.4167,0.0174,0.9909,19.0,0.0,0.0,0.0,19.0,19.0,38.0
426,400,20,400,0.0907,-2.6724,0.0045,0.9908,0.1388,0.9332,0,1,0,1,0.0943,-2.1301,0.0173,0.9897,12.0,0.0,1.0,0.0,13.0,13.0,26.0
