Num of Aggregator ON	convergence time AVG	std Deviation AVG		convergence time MAX	std Deviation MAX		num of PUSH	num of PULL



1,0,0.0,0,0.0,49.0,49.0
2,7,2.4477446729711347E-16,2,0.0,98.0,98.0
3,7,1.5854490168406592E-16,3,0.0,147.0,147.0
4,8,1.3548301348433456E-16,4,0.0,196.0,196.0
5,7,1.9761606865521746E-16,3,0.0,245.0,245.0
6,9,9.780921714700657E-17,5,1.1253633969218085E-16,294.0,294.0
7,8,2.0707757319290527E-16,5,0.0,343.0,343.0
8,9,1.1349531952367777E-16,4,1.1291171128690847E-16,392.0,392.0
9,9,1.716450051573352E-16,3,1.1436386085237493E-16,441.0,441.0
11,9,2.7290286201491625E-16,4,1.1529568271411374E-16,539.0,539.0
10,7,1.496140911090103E-16,6,1.1430606787454349E-16,490.0,490.0
12,9,1.6906931861975673E-16,6,2.31297706525394E-16,588.0,588.0
13,9,1.3456254231796985E-16,6,1.1262883294205508E-16,637.0,637.0
14,9,1.448190622617258E-16,7,0.0,686.0,686.0
15,10,2.4313718519058505E-16,4,2.273994114612597E-16,735.0,735.0
16,9,3.1522643891505055E-16,5,0.0,784.0,784.0
17,9,3.0351809991439537E-16,6,2.288434101809019E-16,833.0,833.0
18,9,1.460335326991077E-16,7,2.3080381579559184E-16,882.0,882.0
19,9,2.0998855172814945E-16,6,1.1480585692105944E-16,931.0,931.0
20,10,2.774848675093375E-16,5,4.608469797661806E-16,980.0,980.0
21,10,3.2232948715945165E-16,6,0.0,1029.0,1029.0
22,10,2.0210462267038454E-16,6,3.422553853594159E-16,1078.0,1078.0
23,10,2.1170050795019015E-16,6,1.1376289714711224E-16,1127.0,1127.0
24,10,2.1927485355845047E-16,5,4.585767804418395E-16,1176.0,1176.0
25,11,1.572968866645304E-16,5,3.4186357052881404E-16,1225.0,1225.0
26,9,2.5476312467663537E-16,5,6.835422488125769E-16,1274.0,1274.0
27,9,3.5177845527708567E-16,4,3.429524994780305E-16,1323.0,1323.0
28,8,1.731010341419231E-16,5,0.0,1372.0,1372.0
29,10,4.441250724778734E-16,5,6.866847664024428E-16,1421.0,1421.0
30,10,2.283249197119488E-16,5,0.0,1470.0,1470.0
31,10,5.555291401629252E-16,5,3.38879145948202E-16,1519.0,1519.0
32,9,2.864507682996289E-16,5,4.543631337551452E-16,1568.0,1568.0
33,9,2.3297207790379126E-16,5,6.806476758528786E-16,1617.0,1617.0
34,11,3.951671493499941E-16,6,3.4300485921947204E-16,1666.0,1666.0
35,11,2.6407295655503977E-16,6,1.142561126746473E-16,1715.0,1715.0
36,9,4.477343704533711E-16,6,2.2567849882556555E-16,1764.0,1764.0
37,11,4.973462299988556E-16,7,3.442893969766718E-16,1813.0,1813.0
38,11,2.1620914726051373E-16,6,0.0,1862.0,1862.0
39,9,4.613708212123372E-16,7,2.3027253441592643E-16,1911.0,1911.0
40,10,2.3205848754522593E-16,6,9.084266949801434E-16,1960.0,1960.0
41,11,2.4307861710679194E-16,6,4.562743377645052E-16,2009.0,2009.0
42,11,4.3633638154396543E-16,5,1.1388740005317607E-16,2058.0,2058.0
43,11,4.522558402859983E-16,6,1.147171445177979E-16,2107.0,2107.0
44,10,4.320788044539596E-16,6,4.586111023561351E-16,2156.0,2156.0
45,10,5.96402136715102E-16,6,3.3980949845576626E-16,2205.0,2205.0
46,12,2.6863751224772166E-16,7,4.6212557204886345E-16,2254.0,2254.0
47,10,2.2936958619862296E-16,5,6.837416009439617E-16,2303.0,2303.0
48,11,2.0879397811939885E-16,8,2.270768462205631E-16,2352.0,2352.0
49,12,1.8700809139796369E-16,7,7.946882166286613E-16,2401.0,2401.0
50,10,5.3200506459619585E-16,7,1.0300145774868745E-15,2450.0,2450.0
