Num of Aggregator ON	convergence time AVG	std Deviation AVG		convergence time MAX	std Deviation MAX		num of PUSH	num of PULL



50			43			3.790211802985467E-16		18			0.0				9950.0		9950.0
60			41			7.2374831806205835E-16		15			7.863819640818201E-16		11940.0		11940.0
70			42			7.46054215410335E-16		18			6.772400943110926E-16		13930.0		13930.0
80			41			1.1923195210582886E-15		20			1.6946523134458569E-15		15920.0		15920.0
90			45			1.2276994106822104E-15		20			1.9200957170491E-15		17910.0		17910.0
100			44			1.4659541988892607E-15		21			1.018732721158107E-15		19900.0		19900.0
110			44			9.557236651948453E-16		21			2.587671803047E-15		21890.0		21890.0
120			46			1.0498487342853576E-15		20			2.0325166670615242E-15		23880.0		23880.0
130			46			1.1531042658477771E-15		22			2.147605262356276E-15		25870.0		25870.0
140			50			2.2536260494896463E-15		24			1.248319072498888E-15		27860.0		27860.0
150			50			2.5382170999142108E-15		25			2.1440902136873458E-15		29850.0		29850.0
160			48			2.7021417966915768E-15		28			9.087288894426403E-16		31840.0		31840.0
170			53			4.537173167151287E-16		22			2.7145463474181724E-15		33830.0		33830.0
180			51			1.2520888143568664E-15		26			4.382379292821973E-15		35820.0		35820.0
190			55			3.392743032847724E-16		27			2.5908937044204214E-15		37810.0		37810.0
200			53			4.026480375598244E-15		25			2.6021522188681853E-15		39800.0		39800.0
